['i m .', 'ik ben jaar .']
['you re a smart boy .', 'je bent een slimme jongen .']
['you re a weird kid .', 'jij bent een raar kind .']
['you re a weird kid .', 'u bent een vreemd kind .']
['you re all cowards .', 'ge zijt allemaal lafaards .']
['you re always late .', 'je bent altijd te laat .']
['you re egotistical .', 'je bent egoistisch .']
['you re just a girl .', 'je bent maar een meisje .']
['you re my princess .', 'gij zijt mijn prinses .']
['you re pretty good .', 'je bent vrij goed .']
['you re such a jerk .', 'wat ben je toch een eikel .']
['you re unnecessary .', 'jij bent overbodig .']
['he is a born artist .', 'hij is een geboren kunstenaar .']
['he is a fast runner .', 'hij kan snel rennen .']
['he is a good fellow .', 'hij is een goede kerel .']
['he is a kind person .', 'hij is een vriendelijk persoon .']
['he is a nice person .', 'hij is een aardig persoon .']
['he is a rude person .', 'hij is een onbeleefd persoon .']
['he is a woman hater .', 'hij is een vrouwenhater .']
['he is always scared .', 'hij heeft altijd angst .']
['he is my old friend .', 'hij is een oude vriend van mij .']
['he is not available .', 'hij is niet beschikbaar .']
['he is playing there .', 'hij speelt daar .']
['he is playing there .', 'daar speelt hij .']
['he is probably dead .', 'hij is waarschijnlijk dood .']
['he s always on time .', 'hij is altijd op tijd .']
['he s in the kitchen .', 'hij is in de keuken .']
['he s my best friend .', 'hij is mijn beste vriend .']
['he s taller than me .', 'hij is groter dan ik .']
['he s the oldest son .', 'hij is de oudste zoon .']
['i am a teacher too .', 'ik ben ook leraar .']
['i am a teacher too .', 'ook ik ben leraar .']
['i am afraid of dogs .', 'ik heb schrik van honden .']
['i am an electrician .', 'ik ben elektricien .']
['i am bored to death .', 'ik verveel me dood .']
['i am eating noodles .', 'ik eet noedels .']
['i am engaged to her .', 'ik ben met haar verloofd .']
['i am going to start .', 'ik ga beginnen .']
['i am going to study .', 'ik ga studeren .']
['i am going with you .', 'ik ga met je mee .']
['i am in tokyo today .', 'ik ben vandaag in tokyo .']
['i am not your enemy .', 'ik ben niet je vijand .']
['i am right for once .', 'voor een keer heb ik gelijk .']
['i am short of money .', 'ik zit krap bij kas .']
['i am the chosen one .', 'ik ben de uitverkorene .']
['i am very dangerous .', 'ik ben erg gevaarlijk .']
['i m a little bummed .', 'ik ben een beetje teleurgesteld .']
['i m a sound sleeper .', 'ik ben een diepe slaper .']
['i m a tennis player .', 'ik ben een tennisspeler .']
['i m as old as he is .', 'ik ben even oud als hij .']
['i m at my wit s end .', 'ik ben aan het eind van mijn latijn .']
['i m at your service .', 'ik sta voor u klaar .']
['i m bad at swimming .', 'ik zwem slecht .']
['i m bad at swimming .', 'ik ben een slechte zwemmer .']
['i m crazy about you .', 'ik ben gek op jou .']
['i m crazy about you .', 'ik ben gek op jullie .']
['i m dying of hunger .', 'ik ga dood van de honger !']
['i m eating a banana .', 'ik eet een banaan .']
['i m eating an apple .', 'ik eet een appel .']
['i m eating an apple .', 'ik ben een appel aan het eten .']
['i m fed up with him .', 'ik ben hem zat .']
['i m fed up with him .', 'ik heb genoeg van hem .']
['i m fine thank you .', 'ik ben oke dank je .']
['i m fine thank you .', 'ik ben in orde dank je .']
['i m forty years old .', 'ik ben veertig .']
['i m getting thirsty .', 'ik begin dorst te krijgen .']
['i m getting thirsty .', 'ik krijg dorst .']
['i m going to church .', 'ik ga naar de kerk .']
['i m happy with that .', 'daar ben ik blij mee .']
['i m just not hungry .', 'ik heb gewoon geen honger .']
['i m leaving tonight .', 'ik vertrek vanavond .']
['i m living my dream .', 'ik leef mijn droom .']
['i m no good for you .', 'ik ben niet wat je zoekt .']
['i m not busy either .', 'ook ik ben niet bezig .']
['i m not ready to go .', 'ik ben niet klaar om te gaan .']
['i m not really sure .', 'ik ben niet helemaal zeker .']
['i m not rich enough .', 'ik ben niet rijk genoeg .']
['i m not that hungry .', 'ik heb niet zo een honger .']
['i m only a customer .', 'ik ben maar een klant .']
['i m sorry . i forgot .', 'het spijt me . ik ben het vergeten .']
['i m taller than him .', 'ik ben groter dan hij .']
['i m trying to sleep .', 'ik probeer te slapen .']
['i m very busy today .', 'ik ben vandaag heel druk bezig .']
['she is a little shy .', 'ze is een beetje verlegen .']
['she is about my age .', 'ze is ongeveer even oud als ik .']
['she is in the wrong .', 'ze heeft ongelijk .']
['she is not here yet .', 'ze is nog niet hier .']
['she is very healthy .', 'ze is erg gezond .']
['she seldom goes out .', 'ze gaat zelden uit .']
['she sings very well .', 'ze zingt heel goed .']
['she speaks too much .', 'ze praat te veel .']
['she still loved him .', 'ze hield nog steeds van hem .']
['she stopped smoking .', 'ze is gestopt met roken .']
['she s a blonde girl .', 'ze is een blond meisje .']
['she s a kind person .', 'zij is een vriendelijk persoon .']
['she s my first love .', 'ze is mijn eerste liefde .']
['she s not penniless .', 'zij is niet onbemiddeld .']
['she s wearing a hat .', 'ze draagt een hoed .']
['she s wearing a hat .', 'ze heeft een hoed op .']
['they are our guests .', 'ze zijn onze gasten .']
['they re all special .', 'ze zijn allemaal speciaal .']
['they re all special .', 'ze zijn allemaal bijzonder .']
['they re defenseless .', 'zij zijn weerloos .']
['they re ignoring me .', 'ze zijn me aan het negeren .']
['they re ignoring me .', 'ze negeren me .']
['they re lying to us .', 'ze liegen tegen ons .']
['they re vegetarians .', 'ze zijn vegetariers .']
['we are good friends .', 'wij zijn goede vrienden .']
['we re at home today .', 'we zijn vandaag thuis .']
['you are a good cook .', 'je bent een goede kok .']
['you are a professor .', 'jij bent professor .']
['you are a professor .', 'u bent professor .']
['you are always late .', 'je bent altijd te laat .']
['you are my daughter .', 'je bent mijn dochter .']
['you are quite a man .', 'je bent een echte vent .']
['you re a clever one .', 'jij bent erg slim .']
['you re a funny girl .', 'je bent een grappig meisje .']
['you re irresistible .', 'je bent onweerstaanbaar .']
['you re looking down .', 'je lijkt terneergeslagen .']
['you re so impatient .', 'jullie zijn zo ongeduldig .']
['you re so impatient .', 'u bent zo ongeduldig .']
['you re so impatient .', 'je bent zo ongeduldig .']
['you re unbelievable .', 'je bent ongelofelijk !']
['you re very helpful .', 'je bent zeer hulpvaardig .']
['you re way too late .', 'je bent veel te laat .']
['he is a cruel person .', 'hij is een wreed persoon .']
['he is a good speaker .', 'hij is een goede redenaar .']
['he is a lazy student .', 'hij is een luie student .']
['he is an able lawyer .', 'hij is een kundig advocaat .']
['he is far from happy .', 'hij is absoluut niet gelukkig .']
['he is five feet tall .', 'hij is vijf voet groot .']
['he is in the kitchen .', 'hij is in de keuken .']
['he is my best friend .', 'hij is mijn beste vriend .']
['he is no longer here .', 'hij is niet langer hier .']
['he is very sensitive .', 'hij is heel gevoelig .']
['he isn t here is he ?', 'hij is niet hier toch ?']
['he s a bit energetic .', 'hij is nogal levendig .']
['he s a hopeless case .', 'hij is een hopeloos geval .']
['he s a tennis player .', 'hij is tennisspeler .']
['he s crazy about you .', 'hij is gek op je .']
['he s eating an apple .', 'hij eet een appel .']
['he s eating an apple .', 'hij is een appel aan het eten .']
['he s eight years old .', 'hij is acht .']
['he s got a white cat .', 'hij heeft een witte kat .']
['he s in the hospital .', 'hij is in het ziekenhuis .']
['he s my half brother .', 'hij is mijn halfbroer .']
['he s not in the mood .', 'hij is niet in zijn goed humeur .']
['he s offered to help .', 'hij heeft aangeboden me te helpen .']
['he s out of practice .', 'hij is uit vorm .']
['i am a tennis player .', 'ik ben een tennisspeler .']
['i am afraid of death .', 'ik heb angst voor de dood .']
['i am afraid of death .', 'ik ben bang voor de dood .']
['i am an entrepreneur .', 'ik ben ondernemer .']
['i am eating a banana .', 'ik eet een banaan .']
['i am eating an apple .', 'ik eet een appel .']
['i am terribly hungry .', 'ik heb ontzettende honger .']
['i m tom s stepfather .', 'ik ben toms stiefvader .']
['i m a windows person .', 'ik ben een windows liefhebber .']
['i m a complete idiot .', 'ik ben een volslagen idioot .']
['i m all out of money .', 'ik ben blut .']
['i m allergic to cats .', 'ik ben allergisch voor katten .']
['i m allergic to dogs .', 'ik ben allergisch aan honden .']
['i m allergic to dogs .', 'ik ben allergisch voor honden .']
['i m allergic to fish .', 'ik ben allergisch voor vis .']
['i m an honest person .', 'ik ben een eerlijk persoon .']
['i m doing well today .', 'vandaag gaat het mij goed .']
['i m doing well today .', 'vandaag voel ik me goed .']
['i m feeling confused .', 'ik voel me verward .']
['i m glad i was there .', 'ik ben blij dat ik er was .']
['i m glad tom is here .', 'ik ben blij dat tom hier is .']
['i m going to be sick .', 'ik denk dat ik misselijk word .']
['i m happy about that .', 'daar ben ik blij om .']
['i m happy to see you .', 'ik ben blij je te zien .']
['i m in a lot of pain .', 'ik heb veel pijn .']
['i m in love with you .', 'ik ben verliefd op jou .']
['i m just a messenger .', 'ik ben slechts boodschapper .']
['i m learning english .', 'ik leer engels .']
['i m living in a town .', 'ik woon in een stad .']
['i m looking for food .', 'ik ben op zoek naar eten .']
['i m looking for work .', 'ik ben een baan aan het zoeken .']
['i m no longer afraid .', 'ik ben niet meer bang .']
['i m not a vegetarian .', 'ik ben geen vegetarier .']
['i m not able to swim .', 'ik kan niet zwemmen .']
['i m not at all tired .', 'ik ben helemaal niet moe .']
['i m not coming along .', 'ik kom niet mee .']
['i m not coming today .', 'ik kom vandaag niet .']
['i m not going to die .', 'ik ga niet sterven .']
['i m not in any hurry .', 'ik ben niet gehaast .']
['i m not tired at all .', 'ik ben helemaal niet moe .']
['i m not your servant .', 'ik ben uw meid niet .']
['i m sorry i was late .', 'het spijt me dat ik te laat was .']
['i m sorry to hear it .', 'het is spijtig om dat te horen .']
['i m staying in italy .', 'ik blijf in italie .']
['i m supposed to help .', 'ik hoor te helpen .']
['i m tired of arguing .', 'ik ben het ruzien moe .']
['i m twelve years old .', 'ik ben twaalf jaar oud .']
['i m unnecessary here .', 'ik ben hier niet nodig .']
['she is always scared .', 'zij heeft altijd angst .']
['she is in a bad mood .', 'ze is in een slechte bui .']
['she is my dream girl .', 'ze is het meisje van mijn dromen .']
['she is my girlfriend .', 'ze is mijn vriendin .']
['she is skipping rope .', 'ze is aan het touwtje springen .']
['she is wearing a hat .', 'ze heeft een hoed op .']
['she isn t lonely now .', 'ze is niet meer alleen .']
['she sat on the bench .', 'ze zat op de bank .']
['she slapped his face .', 'zij sloeg hem in het gezicht .']
['she s a quiet person .', 'zij is een stil persoon .']
['she s good at tennis .', 'ze is goed in tennis .']
['she s got more books .', 'ze heeft meer boeken .']
['she s my best friend .', 'ze is mijn beste vriend .']
['she s older than tom .', 'zij is ouder dan tom .']
['she s older than him .', 'zij is ouder dan hij .']
['she s very beautiful .', 'zij is zeer mooi .']
['they are five in all .', 'allen samen zijn ze met vijf .']
['they are inseparable .', 'zij zijn onafscheidelijk .']
['they are running now .', 'ze zijn nu aan het rennen .']
['they are vegetarians .', 'ze zijn vegetariers .']
['they are vegetarians .', 'zij zijn vegetariers .']
['they re afraid of us .', 'ze zijn bang voor ons .']
['they re already here .', 'ze zijn er al .']
['they re firing at us .', 'ze schieten op ons .']
['they re not soldiers .', 'ze zijn geen soldaten .']
['we are at home today .', 'we zijn vandaag thuis .']
['we are out of danger .', 'we zijn buiten gevaar .']
['we re happy together .', 'we zijn gelukkig samen .']
['we re planting seeds .', 'wij zaaien .']
['we re ready to leave .', 'we zijn klaar om te vertrekken .']
['we re the new owners .', 'we zijn de nieuwe eigenaars .']
['we re your last hope .', 'we zijn je laatste hoop .']
['we re your last hope .', 'we zijn jullie laatste hoop .']
['we re your last hope .', 'we zijn uw laatste hoop .']
['you are a workaholic .', 'je bent verslaafd aan je werk .']
['you are a workaholic .', 'je bent een workaholic .']
['you are irresistible .', 'je bent onweerstaanbaar .']
['you are new students .', 'gij zijt nieuwe studenten .']
['you are new students .', 'jullie zijn nieuwe studenten .']
['you are not japanese .', 'u bent geen japanner .']
['you are very elegant .', 'jij bent zeer elegant .']
['you re a good driver .', 'je kan goed autorijden .']
['you re afraid of him .', 'jullie zijn bang voor hem .']
['you re afraid of him .', 'jij bent bang voor hem .']
['you re exactly right .', 'je slaat de spijker op z n kop .']
['you re just a coward .', 'je bent gewoon een lafaard .']
['you re never at home .', 'je bent nooit thuis .']
['you re still growing .', 'je bent nog steeds aan het groeien .']
['you re such an idiot !', 'je bent zo een domkop !']
['you re such an idiot !', 'je bent zo n domkop !']
['he is a man of action .', 'hij is een man van daden .']
['he is a soccer player .', 'hij is voetballer .']
['he is a spoiled child .', 'hij is een verwend kind .']
['he is a tennis player .', 'hij is tennisspeler .']
['he is afraid of death .', 'hij heeft schrik om te sterven .']
['he is always punctual .', 'hij is altijd op tijd .']
['he is blinded by love .', 'hij is verblind door de liefde .']
['he is fond of fishing .', 'hij houdt van vissen .']
['he is just an amateur .', 'hij is maar een amateur .']
['he is living in tokyo .', 'hij woont in tokio .']
['he is washing the car .', 'hij is de auto aan het wassen .']
['he is washing the car .', 'hij wast de auto .']
['he is wearing glasses .', 'hij draagt een bril .']
['he s a notorious liar .', 'hij is een notoire leugenaar .']
['he s eating lunch now .', 'hij is nu lunch aan het eten .']
['he s eating lunch now .', 'hij is nu aan het lunchen .']
['he s learning chinese .', 'hij leert chinees .']
['he s my older brother .', 'hij is mijn oudere broer .']
['he s shorter than tom .', 'hij is kleiner dan tom .']
['he s studying chinese .', 'hij leert chinees .']
['he s their only child .', 'hij is hun enige kind .']
['he s young and single .', 'hij is jong en vrijgezel .']
['i am years old now .', 'ik ben nu .']
['i am an honest person .', 'ik ben een eerlijk mens .']
['i am as strong as you .', 'ik ben zo sterk als gij .']
['i am as strong as you .', 'ik ben net zo sterk als jij .']
['i am buying a new car .', 'ik koop een nieuwe auto .']
['i am crazy about golf .', 'ik ben gek op golf .']
['i am near the station .', 'ik ben in de buurt van het station .']
['i am no match for him .', 'ik ben geen partij voor hem .']
['i am shorter than you .', 'ik ben kleiner dan jij .']
['i am shorter than you .', 'ik ben kleiner dan jullie .']
['i am shorter than you .', 'ik ben kleiner dan u .']
['i am studying persian .', 'ik leer perzisch .']
['i am talking with tom .', 'ik spreek met tom .']
['i am writing a letter .', 'ik schrijf een brief .']
['i am writing a letter .', 'ik ben een brief aan het schrijven .']
['i m a big fan of golf .', 'ik ben een grote fan van golf .']
['i m afraid of heights .', 'ik heb hoogtevrees .']
['i m afraid of spiders .', 'ik ben bang voor spinnen .']
['i m almost sure of it .', 'ik ben er bijna zeker van .']
['i m at the restaurant .', 'ik ben in het restaurant .']
['i m being blackmailed .', 'ik word gechanteerd .']
['i m doing my homework .', 'ik ben mijn huiswerk aan het maken .']
['i m dying for a smoke .', 'ik smacht naar een sigaret .']
['i m from tokyo japan .', 'ik kom uit tokio japan .']
['i m glad that tom won .', 'ik ben blij dat tom heeft gewonnen .']
['i m glad to hear that .', 'dat hoor ik graag .']
['i m going there alone .', 'ik ga er alleen heen .']
['i m going to hokkaido .', 'ik ga naar hokkaido .']
['i m going to be on tv .', 'ik ga op tv komen .']
['i m going to help tom .', 'ik ga tom helpen .']
['i m going to the bank .', 'ik ga naar de bank .']
['i m late for practice .', 'ik ben laat voor de training .']
['i m looking for a job .', 'ik ben een baan aan het zoeken .']
['i m looking for a job .', 'ik zoek een baan .']
['i m not a bad student .', 'ik ben geen slechte student .']
['i m not a bad student .', 'ik ben geen slechte leerling .']
['i m not a bad student .', 'ik ben niet een slechte student .']
['i m not a bad student .', 'ik ben niet een slechte leerling .']
['i m not a kid anymore .', 'ik ben geen kind meer .']
['i m not a wealthy man .', 'ik ben geen rijk man .']
['i m not afraid at all .', 'ik ben helemaal niet bang .']
['i m not at all hungry .', 'ik heb helemaal geen honger .']
['i m not happy with it .', 'ik ben er niet blij mee .']
['i m not hungry at all .', 'ik heb helemaal geen honger .']
['i m reading this book .', 'ik ben dit boek aan het lezen .']
['i m taking a vacation .', 'ik ga op vakantie .']
['i m worried about him .', 'ik maak me zorgen om hem .']
['she is a good swimmer .', 'ze is een goed zwemster .']
['she is close to sixty .', 'ze is bijna zestig .']
['she is five years old .', 'ze is vijf jaar .']
['she is sewing a dress .', 'ze is een jurk aan het naaien .']
['she is very beautiful .', 'zij is zeer mooi .']
['she is visiting paris .', 'ze bezoekt nu parijs .']
['she isn t at home now .', 'ze is nu niet thuis .']
['she seems to be happy .', 'ze lijkt gelukkig te zijn .']
['she stood on her head .', 'ze stond op haar hoofd .']
['she s eating an apple .', 'zij eet een appel .']
['she s eight years old .', 'zij is acht .']
['she s eight years old .', 'ze is acht jaar oud .']
['she s not a good cook .', 'ze is geen goede kokkin .']
['she s not at home now .', 'ze is nu niet thuis .']
['she s smaller than me .', 'ze is kleiner dan ik .']
['they are the same age .', 'ze zijn van dezelfde leeftijd .']
['they re afraid of tom .', 'ze zijn bang voor tom .']
['they re afraid of him .', 'ze zijn bang voor hem .']
['they re eating apples .', 'ze zijn appels aan het eten .']
['they re in the garden .', 'zij zijn in de tuin .']
['they re in the garden .', 'ze zijn in de tuin .']
['they re still kissing .', 'ze zijn nog steeds aan het zoenen .']
['we re going to church .', 'we gaan naar de kerk .']
['we re just practicing .', 'we zijn alleen maar aan het oefenen .']
['we re nearly finished .', 'we zijn bijna klaar .']
['you are a mean person .', 'jij bent een gemeen persoon .']
['you are seriously ill .', 'je bent ernstig ziek .']
['you are strong minded .', 'je bent resoluut .']
['you re doing it wrong .', 'je doet het verkeerd .']
['you re kidding right ?', 'je maakt een grapje niet ?']
['you re my best friend .', 'je bent mijn beste vriend .']
['you re not helping me .', 'je helpt me niet vooruit .']
['you re not that smart .', 'jij bent niet zo slim .']
['you re old enough now .', 'je bent nu oud genoeg .']
['you re so predictable .', 'je bent zo voorspelbaar .']
['you re taller than me .', 'u bent langer dan ik .']
['you re very beautiful .', 'je bent heel mooi .']
['he is italian by birth .', 'van geboorte is hij italiaan .']
['he is a lovable person .', 'hij is een liefdevol persoon .']
['he is allergic to dust .', 'hij is allergisch voor stof .']
['he is an active person .', 'hij is een actief persoon .']
['he is an expert driver .', 'hij is een ervaren chauffeur .']
['he is an expert driver .', 'hij is een ervaren bestuurder .']
['he is an expert driver .', 'hij is een ervaren drijver .']
['he is far from perfect .', 'hij is verre van perfect .']
['he is fluent in french .', 'hij spreekt vloeiend frans .']
['he is fond of swimming .', 'hij zwemt graag .']
['he is guilty of murder .', 'hij is schuldig aan moord .']
['he is having lunch now .', 'hij is nu lunch aan het eten .']
['he is poor but honest .', 'hij is arm maar eerlijk .']
['he is practically dead .', 'hij is praktisch dood .']
['he is proud of his son .', 'hij is trots op zijn zoon .']
['he is tired of reading .', 'hij is moe van het lezen .']
['he is washing your car .', 'hij wast je auto .']
['he s afraid of the sea .', 'hij is bang voor de zee .']
['he s afraid of the sea .', 'hij is bang van de zee .']
['he s ahead in the race .', 'hij heeft een voorsprong in de race .']
['he s not a boy anymore .', 'hij is geen jongen meer .']
['he s out taking a walk .', 'hij is buiten aan het wandelen .']
['he s probably sleeping .', 'hij slaapt waarschijnlijk .']
['he s probably sleeping .', 'waarschijnlijk slaapt hij .']
['he s stronger than you .', 'hij is sterker dan u .']
['i am a college student .', 'ik ben universiteitsstudent .']
['i am ashamed of myself .', 'ik schaam me voor mezelf .']
['i am going to the shop .', 'ik ga naar de winkel .']
['i am no longer a child .', 'ik ben geen kind meer .']
['i am sixteen years old .', 'ik ben zestien jaar oud .']
['i am taking a bath now .', 'ik zit nu in bad .']
['i am taking a bath now .', 'ik ben nu een bad aan het nemen .']
['i m tom s half brother .', 'ik ben de halfbroer van tom .']
['i m a japanese teacher .', 'ik ben leraar japans .']
['i m a japanese teacher .', 'ik ben een japanse leraar .']
['i m a japanese teacher .', 'ik ben een japanse lerares .']
['i m a good taxi driver .', 'ik ben een goede taxichauffeur .']
['i m afraid i was right .', 'ik ben bang dat ik gelijk had .']
['i m at the airport now .', 'ik ben nu op het vliegveld .']
['i m busy with homework .', 'ik heb het druk met huiswerk .']
['i m glad it s all over .', 'ik ben blij dat alles voorbij is .']
['i m going to need help .', 'ik zal hulp nodig hebben .']
['i m listening to music .', 'ik luister naar muziek .']
['i m lonely without you .', 'ik ben eenzaam zonder jou .']
['i m not a professional .', 'ik ben geen professional .']
['i m not doing anything .', 'ik doe helemaal niets .']
['i m not giving up hope .', 'ik geef de hoop niet op .']
['i m not happy about it .', 'ik ben er niet blij mee .']
['i m not jealous of tom .', 'ik ben niet jaloers op tom .']
['i m proud of my school .', 'ik ben trots op mijn school .']
['i m ready for tomorrow .', 'ik ben klaar voor morgen .']
['i m really tired today .', 'ik ben erg moe vandaag .']
['i m sorry to hear that .', 'het spijt me dat te horen .']
['i m sorry to hear that .', 'het is spijtig om dat te horen .']
['i m too tired to think .', 'ik ben te moe om te denken .']
['i m trying to practice .', 'ik probeer te oefenen .']
['i m washing the dishes .', 'ik ben de afwas aan het doen .']
['she is cooking for him .', 'ze kookt voor hem .']
['she is in need of help .', 'ze heeft hulp nodig .']
['she is younger than me .', 'zij is jonger dan ik .']
['she said she was happy .', 'ze zei dat ze gelukkig was .']
['she showed me her room .', 'ze toonde mij haar kamer .']
['she studied in belgium .', 'zij studeerde in belgie .']
['she suddenly kissed me .', 'plots kuste me ze .']
['she s at the hotel now .', 'ze is nu in het hotel .']
['she s rolling in money .', 'ze zwemt in het geld .']
['they are great friends .', 'ze zijn dikke vrienden .']
['they are my classmates .', 'dat zijn mijn klasgenoten .']
['they re about to leave .', 'ze staan op het punt weg te gaan .']
['they re very practical .', 'ze zijn erg praktisch .']
['we are behind schedule .', 'we lopen achter op het schema .']
['we aren t disappointed .', 'we zijn niet teleurgesteld .']
['we re tom s classmates .', 'wij zijn toms klaskameraadjes .']
['we re all proud of you .', 'we zijn allen trots op jou .']
['we re all proud of you .', 'we zijn allen trots op u .']
['we re not turning back .', 'we gaan niet weer terug .']
['we re ready to do that .', 'we zijn er klaar voor .']
['you are hearing things .', 'je beeldt je dingen in .']
['you are my best friend .', 'je bent mijn beste vriend .']
['you are taller than me .', 'u bent langer dan ik .']
['you re tom aren t you ?', 'jij bent tom niet ?']
['you re going to prison .', 'u gaat naar de gevangenis .']
['you re gonna love this .', 'je gaat dit geweldig vinden .']
['you re never satisfied .', 'je bent nooit tevreden .']
['you re not fast enough .', 'je bent niet snel genoeg .']
['you re such a cute boy .', 'je bent zo n schattige jongen .']
['you re the tallest one .', 'jij bent de grootste .']
['you re trying too hard .', 'je doet te veel je best .']
['he is a friendly person .', 'hij is een vriendelijk persoon .']
['he is equal to the task .', 'hij is tegen de taak opgewassen .']
['he is going to help you .', 'hij gaat je helpen .']
['he is looking for a job .', 'hij zoekt werk .']
['he is no longer a child .', 'hij is geen jongen meer .']
['he is no stranger to me .', 'hij is geen vreemde voor mij .']
['he is on board the ship .', 'hij is aan boord van het schip .']
['he isn t coming either .', 'hij komt ook niet .']
['he isn t lonely anymore .', 'hij voelt zich niet langer alleen .']
['he s fluent in japanese .', 'hij spreekt vloeiend japans .']
['he s got a crush on her .', 'hij is verliefd op haar .']
['he s really into soccer .', 'hij houdt echt van voetbal .']
['he s sketching an apple .', 'hij schetst een appel .']
['i am eighteen years old .', 'ik ben achttien jaar oud .']
['i am pleased to see you .', 'ik ben blij je te zien .']
['i am sorry to hear that .', 'het spijt me dat te horen .']
['i am sorry to hear that .', 'het is spijtig om dat te horen .']
['i m afraid it will rain .', 'ik ben bang dat het gaat regenen .']
['i m always very nervous .', 'ik ben altijd erg zenuwachtig .']
['i m as hungry as a bear .', 'ik heb honger als een paard .']
['i m as hungry as a bear .', 'ik rammel van de honger .']
['i m at a loss for words .', 'ik heb er geen woorden voor .']
['i m at a loss for words .', 'woorden schieten me tekort .']
['i m disappointed in you .', 'ik ben ontgoocheld in u .']
['i m feeling much better .', 'ik voel me veel beter .']
['i m glad you invited me .', 'ik ben blij dat je me uitgenodigd hebt .']
['i m going to take a cab .', 'ik zal een taxi nemen .']
['i m here to protect you .', 'ik ben hier om je te beschermen .']
['i m in a bad mood today .', 'ik heb vandaag een slecht humeur .']
['i m interested in music .', 'ik ben geinteresseerd in muziek .']
['i m interested in music .', 'ik heb interesse voor muziek .']
['i m just looking around .', 'ik kijk alleen even rond .']
['i m not afraid any more .', 'ik ben niet meer bang .']
['i m not paying for this .', 'hiervoor betaal ik niet .']
['i m not sure about this .', 'hier ben ik niet zeker van .']
['i m nothing without you .', 'zonder jou ben ik niets .']
['i m nothing without you .', 'zonder u ben ik niets .']
['i m proud of my brother .', 'ik ben fier op mijn broer .']
['i m still working on it .', 'ik ben er nog mee bezig .']
['i m sure of his success .', 'ik ben zeker dat hij zal slagen .']
['i m trying to read here .', 'ik probeer hier te lezen .']
['i m very short of money .', 'ik zit krap bij kas .']
['she is a friend of mine .', 'ze is een vriend van mij .']
['she is a selfish person .', 'zij is een egoistisch persoon .']
['she is a serious person .', 'zij is een serieus persoon .']
['she is a very kind girl .', 'ze is een heel braaf meisje .']
['she is as young as i am .', 'ze is even jong als ik .']
['she is in love with him .', 'ze houdt van hem .']
['she is wearing a brooch .', 'ze draagt een broche .']
['she isn t alone anymore .', 'ze is niet meer alleen .']
['she seemed uninterested .', 'ze leek ongeinteresseerd .']
['she showed me her album .', 'zij heeft mij haar album laten zien .']
['she studies mathematics .', 'zij studeert wiskunde .']
['she s lost her car keys .', 'ze is de autosleutels verloren .']
['they are deeply in love .', 'ze houden erg van elkaar .']
['they are sensible girls .', 'ze zijn verstandige meisjes .']
['they re probably scared .', 'ze zijn waarschijnlijk bang .']
['we are free from danger .', 'we zijn buiten gevaar .']
['we are husband and wife .', 'we zijn een echtpaar .']
['we re having a barbecue .', 'we zijn aan het barbecueen .']
['we re lucky to be alive .', 'we boffen dat we nog leven .']
['we re not in the jungle .', 'we zijn niet in de jungle .']
['we re not young anymore .', 'we zijn niet jong meer .']
['we re proud of our team .', 'we zijn trots op ons team .']
['we re sick of your lies .', 'we hebben genoeg van je leugens .']
['we re supposed to relax .', 'we horen ons te ontspannen .']
['we re very proud of tom .', 'we zijn heel trots op tom .']
['we re wasting time here .', 'we verliezen hier tijd .']
['you are only young once .', 'we zijn maar eenmaal jong .']
['you are very courageous .', 'u bent erg moedig .']
['you re absolutely right .', 'je hebt volkomen gelijk .']
['you re completely right .', 'je hebt helemaal gelijk .']
['you re driving too fast .', 'je rijdt te snel .']
['you re going to need it .', 'je zult het nodig hebben .']
['you re going to need it .', 'jij zal het nodig hebben .']
['you re hiding something .', 'u verbergt iets .']
['you re hiding something .', 'jij verbergt iets .']
['you re probably thirsty .', 'je hebt allicht dorst .']
['you re probably thirsty .', 'u heeft allicht dorst .']
['you re sick aren t you ?', 'je bent ziek niet ?']
['you re taller than i am .', 'u bent langer dan ik .']
['he is a childhood friend .', 'hij is een vriend uit onze kindertijd .']
['he is almost always home .', 'hij is bijna altijd thuis .']
['he is an english teacher .', 'hij is leraar engels .']
['he is armed to the teeth .', 'hij is tot de tanden gewapend .']
['he is liked by everybody .', 'iedereen mag hem .']
['he is nothing but a liar .', 'hij is niets dan een leugenaar .']
['he is opening the window .', 'hij doet het raam open .']
['he is playing over there .', 'hij is daar aan het spelen .']
['he is responsible for it .', 'hij draagt de verantwoordelijkheid .']
['he is responsible for it .', 'hij is daarvoor verantwoordelijk .']
['he is such a lazy fellow .', 'hij is zo een ontzettende luiaard .']
['he is too tired to study .', 'hij is te moe om te studeren .']
['he is wearing sunglasses .', 'hij draagt een zonnebril .']
['he isn t afraid of death .', 'hij is niet bang voor de dood .']
['he s a volleyball player .', 'hij is een volleybalspeler .']
['he s always dissatisfied .', 'hij is altijd ontevreden .']
['he s the love of my life .', 'hij is de liefde van mijn leven .']
['he s very angry with her .', 'hij is erg boos op haar .']
['i am a polish journalist .', 'ik ben een poolse journalist .']
['i am close to the bridge .', 'ik ben dicht bij de brug .']
['i am content with my job .', 'ik ben tevreden met mijn werk .']
['i m as tall as my father .', 'ik ben even groot als mijn vader .']
['i m glad to see you back .', 'het doet mij plezier dat ge terug zijt .']
